lr_multiplier,priority,contrast,left_role,right_role,final_val_loss_delta_left_minus_right,normalized_val_auc_delta_left_minus_right,negative_favors,evidence_class
0.8,primary,selective_diag_vs_muon,selective_diag,muon,-0.01770000000000005,-0.012341666666665585,left,supporting_only
0.8,primary,selective_none_vs_muon,selective_none,muon,-0.011200000000000099,-0.0009633333333334271,left,supporting_only
0.8,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,-0.00019999999999997797,0.0012966666666676119,left,supporting_only
0.8,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,0.006299999999999972,0.01267499999999977,left,supporting_only
0.8,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,-0.01750000000000007,-0.013638333333333197,left,supporting_only
1.0,primary,selective_diag_vs_muon,selective_diag,muon,-0.016900000000000137,-0.012308333333332033,left,supporting_only
1.0,primary,selective_none_vs_muon,selective_none,muon,-0.010700000000000376,-0.0012883333333331137,left,supporting_only
1.0,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,-0.0013000000000000789,0.0009016666666679107,left,supporting_only
1.0,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,0.004899999999999682,0.01192166666666683,left,supporting_only
1.0,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,-0.015600000000000058,-0.013209999999999944,left,supporting_only
1.2,primary,selective_diag_vs_muon,selective_diag,muon,-0.01529999999999987,-0.011874999999998526,left,supporting_only
1.2,primary,selective_none_vs_muon,selective_none,muon,-0.008699999999999708,-0.0007150000000000212,left,supporting_only
1.2,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,-0.00010000000000021103,0.0010016666666672336,left,supporting_only
1.2,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,0.00649999999999995,0.012161666666665738,left,supporting_only
1.2,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,-0.015199999999999658,-0.01287666666666576,left,supporting_only
